Lexer,词法分析器类
Token,词类
BasicParser,基本语法分析器类
ASTree,语法树类
BinaryExpr,二元表达式类
ASTLeaf,语法树叶类
WhileStmnt,While声明类
ParseException,分析例外
BasicInterpreter,基本解释器类
BasicEnv,基本环境类
BasicEvaluator,基本求值器类
FuncInterpreter,函数解释器类
FuncParser,函数语法分析器类
NestedEnv,嵌套环境类
FuncEvaluator,函数求值器类
ClosureInterpreter,闭包解释器类
ClosureParser,闭包语法分析器类
ClosureEvaluator,闭包求值器类
NativeInterpreter,原生解释器类
NativeEvaluator,原生求值器类
Natives,原生类
ClassEvaluator,类求值器类
ClassInterpreter,类解释器类
ClassParser,类语法分析器类
ArrayEvaluator,数组求值器类
EnvOptimizer,环境优化器类
InlineCache,内联缓存类
ObjOptimizer,对象优化器类
VmInterpreter,虚拟机解释器类
StoneVMEnv,虚拟机环境类
VmEvaluator,虚拟机求值器类
TypedInterpreter,带类型解释器类
TypeEnv,类型环境类
TypedParser,带类型语法分析器类
TypedNatives,带类型原生类
ToJava,变Java类
InferFuncTypes,推导函数类型类
TypeException,类型例外
TypeInfo,类型信息类
Environment,环境类
NullStmnt,空声明类
ASTreeEx,语法树扩展类
ASTreeOptEx,语法树优化扩展类
EnvEx2,环境执行类2
TypeChecker,类型检查器类
ASTreeTypeEx,语法树类型扩展类
